OccuranceID,Species,Latitude,Longitude,ChecklistID,Date.observed,Year,Month,Day,Start.time,End.time
3734,Danaus plexippus,43.5867,-79.755,1612,2012-05-04,2012,5,4,11:15,12:15
3746,Danaus plexippus,43.550124,-79.655275,1615,2012-05-04,2012,5,4,07:30,11:40
3791,Danaus plexippus,43.853261,-78.897338,1636,2012-05-04,2012,5,4,17:21,18:50
3809,Danaus plexippus,43.6129,-79.38401,1638,2012-05-04,2012,5,4,13:00,19:00
3818,Danaus plexippus,42.828682,-79.883655,1639,2012-05-04,2012,5,4,06:20,11:47
3874,Danaus plexippus,44.053515,-79.467181,1661,2012-05-05,2012,5,5,14:13,14:25
3896,Danaus plexippus,43.61657,-79.38219,1668,2012-05-05,2012,5,5,08:00,16:00
3910,Danaus plexippus,43.678727,-79.349595,1674,2012-05-05,2012,5,5,12:00,15:30
3913,Danaus plexippus,42.564604,-81.683876,1676,2012-05-05,2012,5,5,08:05,09:05
3954,Danaus plexippus,43.550124,-79.655275,1690,2012-05-06,2012,5,6,13:30,15:00
4011,Danaus plexippus,44.053515,-79.467181,1702,2012-05-06,2012,5,6,12:04,13:00
4328,Danaus plexippus,44.006928,-77.124043,1846,2012-05-07,2012,5,7,14:45,16:00
4393,Danaus plexippus,42.041515,-82.515071,1871,2012-05-08,2012,5,8,14:00,16:00
4470,Danaus plexippus,42.09988,-82.492049,1899,2012-05-02,2012,5,2,13:30,17:00
4475,Danaus plexippus,42.09988,-82.492049,1900,2012-05-05,2012,5,5,09:30,10:00
4557,Danaus plexippus,43.499234,-80.378622,1946,2012-05-02,2012,5,2,15:05,15:05
4671,Danaus plexippus,43.777395,-79.366117,1973,2012-05-09,2012,5,9,13:00,14:00
4673,Danaus plexippus,49.62625,-96.663989,1974,2012-05-12,2012,5,12,14:12,14:15
4704,Danaus plexippus,42.580554,-80.382887,1991,2012-05-12,2012,5,12,10:00,14:00
4858,Danaus plexippus,44.306683,-78.355436,2032,2012-05-12,2012,5,12,15:00,15:15
4899,Danaus plexippus,43.72348,-79.355096,2040,2012-05-12,2012,5,12,08:00,13:00
4901,Danaus plexippus,45.928652,-83.115167,2041,2012-05-12,2012,5,12,13:00,13:30
4907,Danaus plexippus,45.967309,-81.933407,2042,2012-05-13,2012,5,13,09:00,09:40
4910,Danaus plexippus,45.559231,-82.015504,2043,2012-05-13,2012,5,13,12:00,12:30
4978,Danaus plexippus,42.565224,-81.669435,2056,2012-05-12,2012,5,12,17:20,17:45
4992,Danaus plexippus,42.633143,-81.82762,2057,2012-05-13,2012,5,13,15:15,15:45
5004,Danaus plexippus,42.647412,-81.828221,2058,2012-05-13,2012,5,13,15:50,16:25
5048,Danaus plexippus,43.931262,-76.992134,2067,2012-05-11,2012,5,11,13:00,14:00
5110,Danaus plexippus,45.040019,-79.319891,2078,2012-05-15,2012,5,15,14:00,14:01
5233,Danaus plexippus,44.56719,-76.324072,2122,2012-05-16,2012,5,16,05:05,06:05
5299,Danaus plexippus,42.09988,-82.492049,2134,2012-05-12,2012,5,12,09:05,10:05
5303,Danaus plexippus,42.09988,-82.492049,2135,2012-05-14,2012,5,14,09:05,10:05
5351,Danaus plexippus,43.171147,-81.919524,2151,2012-05-17,2012,5,17,08:30,14:00
5383,Danaus plexippus,49.62625,-96.663989,2160,2012-05-18,2012,5,18,09:03,10:06
5390,Danaus plexippus,50.064802,-97.440995,2165,2012-05-17,2012,5,17,13:00,14:00
5391,Danaus plexippus,49.898744,-97.176358,2166,2012-05-18,2012,5,18,14:00,14:20
5475,Danaus plexippus,43.99093,-77.05355,2195,2012-05-20,2012,5,20,09:00,10:00
5488,Danaus plexippus,44.22983,-79.05177,2198,2012-05-19,2012,5,19,16:30,16:50
5531,Danaus plexippus,43.971883,-78.62811,2208,2012-05-20,2012,5,20,14:55,15:40
5586,Danaus plexippus,44.891821,-76.112842,2224,2012-05-20,2012,5,20,10:00,12:00
5596,Danaus plexippus,44.891578,-76.114472,2225,2012-05-20,2012,5,20,15:00,16:00
5690,Danaus plexippus,44.062271,-78.836259,2243,2012-05-21,2012,5,21,16:05,16:26
5715,Danaus plexippus,48.6291,-79.4648,2255,2012-05-21,2012,5,21,08:05,09:05
5727,Danaus plexippus,44.896767,-76.10875,2257,2012-05-21,2012,5,21,11:00,13:00
5743,Danaus plexippus,43.416182,-80.415405,2264,2012-05-21,2012,5,21,09:00,13:30
5793,Danaus plexippus,43.472797,-80.556039,2299,2012-05-14,2012,5,14,17:30,18:30
5827,Danaus plexippus,44.894578,-76.109208,2321,2012-05-22,2012,5,22,14:01,14:20
5841,Danaus plexippus,49.874896,-97.052526,2330,2012-05-22,2012,5,22,11:30,14:30
5846,Danaus plexippus,44.893037,-76.109666,2331,2012-05-23,2012,5,23,13:00,14:00
5879,Danaus plexippus,41.968127,-82.533814,2338,2012-05-11,2012,5,11,11:00,15:00
5952,Danaus plexippus,48.3605,-79.0034,2360,2012-05-23,2012,5,23,07:05,08:05
5956,Danaus plexippus,44.891821,-76.112927,2361,2012-05-24,2012,5,24,08:00,09:50
6091,Danaus plexippus,45.574989,-78.507732,2379,2012-05-21,2012,5,21,14:00,16:00
6194,Danaus plexippus,44.643051,-76.335242,2390,2012-05-24,2012,5,24,02:05,03:05
6227,Danaus plexippus,42.09988,-82.492049,2404,2012-05-19,2012,5,19,05:05,06:05
6242,Danaus plexippus,42.09988,-82.492049,2408,2012-05-24,2012,5,24,05:05,06:05
6279,Danaus plexippus,44.893281,-76.111382,2415,2012-05-25,2012,5,25,15:00,16:30
6341,Danaus plexippus,44.895915,-76.105603,2439,2012-05-26,2012,5,26,11:00,13:00
6363,Danaus plexippus,44.891233,-76.115087,2441,2012-05-26,2012,5,26,15:00,16:00
6447,Danaus plexippus,45.494258,-76.083842,2468,2012-05-26,2012,5,26,13:30,15:30
6455,Danaus plexippus,43.990466,-77.044406,2469,2012-05-27,2012,5,27,08:30,10:30
6590,Danaus plexippus,49.886155,-97.052546,2507,2012-05-26,2012,5,26,11:05,12:05
6661,Danaus plexippus,48.36237,-89.368662,2525,2012-05-28,2012,5,28,18:30,19:00
6663,Danaus plexippus,50.738457,-103.567265,2527,2012-05-26,2012,5,26,11:00,16:00
6671,Danaus plexippus,43.4583,-80.5756,2533,2012-05-18,2012,5,18,08:05,09:05
6672,Danaus plexippus,43.4583,-80.5756,2534,2012-05-20,2012,5,20,08:05,09:05
6674,Danaus plexippus,43.4583,-80.5756,2534,2012-05-20,2012,5,20,08:05,09:05
6759,Danaus plexippus,45.357277,-75.856122,2556,2012-05-29,2012,5,29,10:30,12:15
6823,Danaus plexippus,41.955602,-82.518815,2583,2012-05-13,2012,5,13,06:00,12:00
6879,Danaus plexippus,45.46039,-75.99938,2597,2012-05-30,2012,5,30,10:30,11:15
6893,Danaus plexippus,45.46136,-76.00385,2599,2012-05-30,2012,5,30,11:20,11:50
6963,Danaus plexippus,45.31456,-75.862688,2607,2012-05-29,2012,5,29,11:05,12:05
6979,Danaus plexippus,45.949663,-78.042916,2609,2012-05-30,2012,5,30,11:05,12:05
7005,Danaus plexippus,45.519068,-75.912373,2618,2012-05-28,2012,5,28,10:30,17:00
7006,Danaus plexippus,45.519068,-75.912373,2490,2012-05-26,2012,5,26,13:00,17:00
7029,Danaus plexippus,45.315707,-75.864448,2620,2012-05-31,2012,5,31,11:00,12:00
7066,Danaus plexippus,45.41195,-75.665378,2639,2012-05-31,2012,5,31,12:20,13:20
7088,Danaus plexippus,45.316476,-75.812305,2641,2012-05-31,2012,5,31,15:00,15:15
7096,Danaus plexippus,45.969233,-77.843961,2642,2012-05-30,2012,5,30,14:20,14:50
7104,Danaus plexippus,45.911695,-77.584495,2643,2012-05-30,2012,5,30,15:15,16:00
7107,Danaus plexippus,45.4549,-75.67433,2644,2012-05-31,2012,5,31,10:00,10:30
7127,Danaus plexippus,44.890686,-76.112298,2649,2012-05-31,2012,5,31,14:30,15:45
7167,Danaus plexippus,45.314967,-75.867645,2658,2012-05-30,2012,5,30,10:15,12:45
7184,Danaus plexippus,43.550124,-79.655275,2659,2012-05-30,2012,5,30,11:00,13:30
7209,Danaus plexippus,44.890301,-76.114301,2670,2012-06-02,2012,6,2,15:00,16:00
7223,Danaus plexippus,45.459405,-75.591302,2679,2012-06-03,2012,6,3,14:15,14:15
7231,Danaus plexippus,45.601969,-72.988155,2688,2012-05-30,2012,5,30,10:06,11:06
7261,Danaus plexippus,44.888375,-76.110581,2699,2012-06-03,2012,6,3,15:00,16:30
7280,Danaus plexippus,44.523782,-76.392558,2711,2012-06-05,2012,6,5,10:06,11:06
7316,Danaus plexippus,45.073653,-75.817679,2723,2012-06-05,2012,6,5,10:00,12:00
7344,Danaus plexippus,44.643051,-76.335242,2732,2012-06-05,2012,6,5,04:06,05:06
7364,Danaus plexippus,43.550124,-79.655275,2739,2012-06-05,2012,6,5,13:30,15:00
7379,Danaus plexippus,44.887869,-76.110438,2747,2012-06-05,2012,6,5,14:30,15:45
7393,Danaus plexippus,44.767521,-76.938447,2749,2012-06-03,2012,6,3,13:00,13:45
7472,Danaus plexippus,45.261421,-76.14623,2753,2012-06-05,2012,6,5,15:30,16:30
7477,Danaus plexippus,45.299952,-81.624116,2759,2012-06-03,2012,6,3,09:55,13:50
7483,Danaus plexippus,43.798054,-79.110993,2760,2012-06-05,2012,6,5,10:20,12:00
7491,Danaus plexippus,42.624428,-80.72976,2762,2012-06-05,2012,6,5,09:00,12:00
7527,Danaus plexippus,42.624428,-80.72976,2765,2012-06-06,2012,6,6,05:06,06:06
7528,Danaus plexippus,45.429468,-75.982459,2766,2012-06-06,2012,6,6,13:00,13:30
